"code";"POINT_X";"POINT_Y";"name"
14;234209,549043;581884,053085;"Groningen"
34;144424,265394;487035,356;"Almere"
37;261808,769089;556451,162509;"Stadskanaal"
47;254355,47676;569119,400836;"Veendam"
50;163644,286689;482491,074441;"Zeewolde"
59;205311,319629;580651,486208;"Achtkarspelen"
60;177207,762801;606812,236138;"Ameland"
72;157997,863226;576139,667408;"Harlingen"
74;192185,641779;553797,293244;"Heerenveen"
80;182806,016213;578760,968079;"Leeuwarden"
85;215894,141125;556267,355699;"Ooststellingwerf"
86;203144,064085;562239,368977;"Opsterland"
88;206461,787387;610769,772416;"Schiermonnikoog"
90;201848,768137;569402,791539;"Smallingerland"
93;147191,910155;599340,870418;"Terschelling"
96;133626,329116;590240,82412;"Vlieland"
98;198462,025891;543420,641158;"Weststellingwerf"
106;233575,70354;557869,925719;"Assen"
109;246574,831165;526244,704249;"Coevorden"
114;259293,429196;531358,906347;"Emmen"
118;229730,598134;526396,394027;"Hoogeveen"
119;209412,133582;523763,75817;"Meppel"
141;241733,712328;486003,919836;"Almelo"
147;248171,999786;480182,050555;"Borne"
148;215594,784219;504362,09595;"Dalfsen"
150;209270,247595;475061,613738;"Deventer"
153;257770,551141;470848,29958;"Enschede"
158;247619,044275;464351,408218;"Haaksbergen"
160;235336,314481;511396,580575;"Hardenberg"
163;228646,007305;487932,324116;"Hellendoorn"
164;251472,891835;476620,894991;"Hengelo (O.)"
166;190959,088826;507537,903684;"Kampen"
168;265592,064621;476963,151058;"Losser"
171;180154,692367;524765,217694;"Noordoostpolder"
173;259645,438986;481692,940019;"Oldenzaal"
175;225643,734915;504038,612506;"Ommen"
177;215299,942613;489626,055016;"Raalte"
180;211467,258917;517223,374276;"Staphorst"
183;249075,610494;491804,17692;"Tubbergen"
184;170489,78634;519573,005825;"Urk"
189;236496,774078;484451,339728;"Wierden"
193;202984,266349;503195,044388;"Zwolle"
197;235224,750846;436137,090416;"Aalten"
200;194795,61091;468748,317732;"Apeldoorn"
202;190611,502847;443005,188734;"Arnhem"
203;170420,533217;463812,406015;"Barneveld"
209;180725,177293;430384,447385;"Beuningen"
213;204021,482727;457236,290909;"Brummen"
214;156786,711033;439336,12728;"Buren"
216;143761,466678;440379,210631;"Culemborg"
221;206666,058692;447292,926779;"Doesburg"
222;216658,715067;441803,84985;"Doetinchem"
225;170440,953605;432795,489977;"Druten"
226;198171,407921;439826,334361;"Duiven"
228;173631,697108;450701,136857;"Ede"
230;186648,656753;493895,326434;"Elburg"
232;195034,49126;481941,00563;"Epe"
233;171059,625122;479122,269066;"Ermelo"
243;171250,552746;483705,625527;"Harderwijk"
244;200692,916645;498649,507931;"Hattem"
246;200223,71656;490534,656386;"Heerde"
252;186117,062227;421011,954133;"Heumen"
262;219881,93363;465525,542676;"Lochem"
263;148810,0825;420133,122016;"Maasdriel"
267;161162,945152;468877,63163;"Nijkerk"
268;186230,172726;427306,722957;"Nijmegen"
269;194308,206382;496894,065779;"Oldebroek"
273;169657,327553;473843,594941;"Putten"
274;182710,35121;443952,897779;"Renkum"
275;199251,583754;447979,018737;"Rheden"
277;194417,088892;446338,643201;"Rozendaal"
279;161980,391054;454677,86294;"Scherpenzeel"
281;157313,128329;433073,955171;"Tiel"
285;203867,273659;471528,404255;"Voorst"
289;173930,784598;442756,189559;"Wageningen"
293;195311,356067;440779,819459;"Westervoort"
294;246683,157891;443488,356768;"Winterswijk"
296;178267,081986;424630,483466;"Wijchen"
